1,0.001,1.089,10,3
2,0.004,-19.499,10,5
3,0.005,38.859,7,1
4,0.009,-51.894,9,3
5,0.010,-40.591,9,5
6,0.019,3.947,13,5
7,0.022,20.036,10,4
8,0.027,25.886,9,5
9,0.035,36.586,9,5
10,0.036,-50.867,9,3
11,0.037,46.940,8,2
12,0.041,-35.960,9,5
13,0.042,-22.595,10,5
14,0.048,-0.360,8,5
15,0.050,50.791,9,5
16,0.053,-54.914,12,3
17,0.051,-40.192,9,3
18,0.053,-4.054,12,6
19,0.053,38.304,7,5
20,0.063,23.529,9,3
21,0.066,8.007,8,5
22,0.070,-49.352,9,5
23,0.074,13.312,8,3
24,0.076,-23.453,10,3
25,0.080,-44.291,7,4
26,0.084,-13.393,10,3
27,0.086,-41.298,10,4
28,0.087,-43.362,10,3
29,0.092,-49.108,10,5
30,0.096,42.141,9,2
31,0.098,2.675,8,5
32,0.099,51.939,10,2
33,0.099,-10.462,9,3
34,0.100,26.918,7,3
35,0.103,-14.491,10,5
36,0.103,12.267,8,5
37,0.105,-47.179,11,3
38,0.113,-79.062,9,4
39,0.112,-16.697,8,3
40,0.122,67.217,11,3
41,0.116,54.302,9,2
42,0.126,25.845,9,3
43,0.129,59.560,7,5
44,0.133,-3.306,9,5
45,0.134,-72.203,10,2
46,0.135,-25.622,9,5
47,0.135,-56.836,11,5
48,0.135,-40.691,8,5
49,0.140,16.669,10,3
50,0.143,-53.098,7,4
51,0.143,1.066,10,5
52,0.147,-77.020,9,2
53,0.147,-29.263,12,2
54,0.153,17.969,11,5
55,0.159,-66.683,8,3
56,0.163,0.223,9,5
57,0.168,-69.676,9,4
58,0.174,62.176,8,3
59,0.174,55.722,10,2
60,0.175,-64.466,9,3
61,0.176,53.822,10,5
62,0.180,-45.423,9,5
63,0.182,45.253,7,1
64,0.185,-27.908,9,5
65,0.187,-54.831,12,5
66,0.189,-72.318,9,3
67,0.199,23.538,9,3
68,0.200,16.988,10,5
69,0.201,30.396,9,2
70,0.203,36.778,11,4
71,0.207,36.780,9,4
72,0.220,-12.829,10,4
73,0.220,66.848,8,5
74,0.222,35.753,11,5
75,0.223,-50.446,8,6
76,0.228,32.826,10,6
77,0.231,-30.064,9,2
78,0.232,17.868,9,5
79,0.236,35.317,9,3
80,0.243,-11.824,9,3
81,0.243,-4.933,9,4
82,0.248,-10.936,10,5
83,0.248,52.081,10,6
84,0.253,27.886,10,4
85,0.256,-24.714,11,3
86,0.261,69.603,9,2
87,0.262,-5.835,8,3
88,0.269,-48.810,6,5
89,0.277,53.167,9,6
90,0.280,-41.888,8,3
91,0.281,-5.874,8,5
92,0.291,-20.705,9,5
93,0.292,-0.076,9,4
94,0.295,-32.757,11,4
95,0.302,-11.964,9,3
96,0.305,13.975,11,5
97,0.307,-21.404,10,3
98,0.307,-52.799,11,3
99,0.316,60.355,8,7
100,0.316,19.741,9,4
101,0.320,-47.794,11,3
102,0.320,-41.487,8,6
103,0.322,-68.371,9,3
104,0.327,-31.900,10,3
105,0.328,70.929,8,3
106,0.330,49.981,7,5
107,0.334,-50.337,6,6
108,0.337,-70.125,9,5
109,0.347,6.791,8,3
110,0.349,39.611,9,4
111,0.350,34.282,12,5
112,0.358,-16.948,11,5
113,0.366,49.011,10,2
114,0.372,30.736,9,4
115,0.373,-62.923,8,2
116,0.375,-33.793,9,3
117,0.380,-72.606,9,5
118,0.387,-9.430,10,4
119,0.390,44.675,8,5
120,0.396,-45.345,9,5
121,0.396,28.424,8,5
122,0.399,-77.066,6,5
123,0.400,72.237,8,5
124,0.404,61.223,6,3
125,0.405,-39.337,9,3
126,0.409,14.632,9,5
127,0.412,-48.936,12,5
128,0.414,73.612,7,2
129,0.416,5.373,10,3
130,0.418,-30.693,10,5
131,0.420,62.018,9,2
132,0.422,-34.653,11,3
133,0.423,-40.149,7,3
134,0.425,-1.140,11,2
135,0.427,-0.218,9,4
136,0.429,24.253,7,5
137,0.433,42.367,7,1
138,0.437,-16.532,9,5
139,0.445,67.507,11,5
140,0.453,-68.105,10,3
141,0.453,36.350,9,5
142,0.454,66.306,8,4
143,0.456,21.463,11,5
144,0.455,76.176,9,5
145,0.456,-3.028,6,1
146,0.456,-25.799,10,3
147,0.466,21.026,9,6
148,0.479,15.528,9,3
149,0.478,26.004,12,5
150,0.480,-37.230,8,5
151,0.485,-41.614,8,3
152,0.484,-28.131,11,3
153,0.484,12.655,10,3
154,0.490,-6.014,5,6
155,0.491,46.269,11,2
156,0.497,63.358,9,2
157,0.500,-5.214,9,5
158,0.501,-37.902,8,5
159,0.511,-2.766,8,2
160,0.512,-69.269,9,1
161,0.512,33.696,10,6
162,0.513,27.119,11,4
163,0.517,-30.685,10,2
164,0.519,59.940,9,5
165,0.520,-22.327,11,3
166,0.521,-56.515,10,4
167,0.528,39.183,9,2
168,0.533,-2.820,10,5
169,0.537,-68.281,10,5
170,0.537,-20.872,10,3
171,0.542,27.082,6,4
172,0.543,67.409,10,5
173,0.549,47.577,9,2
174,0.552,59.965,10,5
175,0.552,49.771,9,5
176,0.553,44.428,10,3
177,0.560,-11.964,10,2
178,0.568,-27.135,9,3
179,0.569,-13.407,8,3
180,0.571,-9.175,9,5
181,0.574,60.703,7,6
182,0.581,52.586,9,5
183,0.583,-29.720,6,1
184,0.590,11.006,9,4
185,0.590,10.785,9,3
186,0.601,8.957,7,2
187,0.602,-6.059,10,3
188,0.603,6.333,9,3
189,0.605,54.135,10,2
190,0.605,10.776,9,3
191,0.613,-46.029,13,5
192,0.620,8.394,9,5
193,0.622,-39.213,10,5
194,0.624,8.485,6,3
195,0.626,47.423,8,3
196,0.627,51.830,10,6
197,0.632,42.148,10,5
198,0.633,15.335,10,2
199,0.635,16.257,8,2
200,0.635,-33.993,11,3
201,0.639,18.684,9,3
202,0.642,54.552,9,3
203,0.642,-15.831,10,5
204,0.645,-43.948,9,5
205,0.646,-5.187,9,3
206,0.647,18.836,9,3
207,0.650,66.099,7,5
208,0.650,-67.634,10,5
209,0.660,66.100,8,2
210,0.662,-8.488,10,3
211,0.663,-37.948,10,4
212,0.663,-29.075,11,3
213,0.667,51.472,8,5
214,0.669,28.542,9,2
215,0.674,75.036,10,6
216,0.677,42.921,9,2
217,0.674,82.973,8,2
218,0.680,-57.634,9,5
219,0.690,6.034,9,4
220,0.692,35.815,8,2
221,0.694,80.282,8,3
222,0.695,-40.983,10,5
223,0.696,2.130,8,4
224,0.696,3.860,10,5
225,0.700,-15.041,10,3
226,0.700,-24.945,11,2
227,0.705,80.286,11,3
228,0.710,28.252,8,3
229,0.714,47.252,9,2
230,0.716,30.337,9,3
231,0.724,-58.781,10,3
232,0.730,-30.150,9,2
233,0.732,71.358,9,5
